gene_name,DOR_1,DOR_2,DOR_3,NOR_1,NOR_2,NOR_3
EZH2,592,1076,544,727,854,1139
CEP41,726,781,552,569,465,517
ZNF862,1449,1568,1473,1766,959,780
SFRP4,102,95,225,30,753,410
MEST,134,978,180,168,316,70
MEOX2,0,4,4,0,0,0
ANKMY2,1136,1078,858,1043,597,508
ACTR3C,37,59,72,93,41,24
POU6F2,0,0,4,24,0,0
TSPAN13,202,1046,144,168,343,261
RARRES2,2166,2419,1795,13052,10461,13688
AC004837,3,10,1,27,1,0
AGR2,19,622,3,29,18,0
AHR,7946,8017,6691,650,2398,2304
CHCHD3,5059,4533,4744,6040,4308,4231
GIMAP2,197,198,228,132,132,106
TMEM176B,416,336,367,691,1912,953
GLI3,8719,9161,8066,4608,1901,3571
PSMA2,8359,6471,6882,10786,9547,10661
MRPL32,4314,3941,3406,4900,4373,4397
COA1,1730,1975,1615,2714,2014,1692
BLVRA,1219,1725,1225,3160,4679,3382
URGCP,4422,5512,4782,5915,5392,3915
TMEM248,9198,8045,8636,7305,6674,5318
STAG3L4,837,951,913,1321,1608,1334
RHEB,11050,8202,8858,15384,12983,14998
PRKAG2,1418,1808,1493,374,1654,1086
AEBP1,2975,8542,7745,3834,3893,5373
POLD2,11127,11649,11030,20941,19611,23074
MYL7,0,0,8,0,63,123
GCK,31,24,25,26,43,50
BCL7B,5993,5898,4803,12550,9076,8568
YKT6,7486,8447,7438,9663,11425,8742
TBL2,3584,2968,3509,4292,3134,2873
CLIP2,1131,3112,1167,797,2425,1119
EIF4H,35127,37333,32286,31147,26672,20324
LIMK1,4281,5279,3792,4487,4147,2875
SPATA6L,77,61,35,48,43,42
SLC1A1,329,182,193,76,55,76
LHX2,0,16,4,22,22,74
FKTN,2665,2255,2854,750,850,760
FSD1L,679,492,606,359,367,281
CNTNAP3,10,48,10,6,51,133
SPIN1,8610,6656,7704,3948,2875,2190
NMRK1,879,821,551,1619,1298,1107
TMEM245,10041,8281,10707,6560,4615,4413
PRUNE2,2057,1248,890,489,420,275
MEGF9,1761,1411,1896,1340,690,478
TRIM14,1679,1959,2260,218,1281,1184
CORO2A,185,441,144,123,217,388
TGFBR1,7209,4668,5369,3759,3083,2733
SEC61B,5282,4267,3889,9322,10996,10328
C5,371,327,334,295,211,89
OGN,44,664,58,28,24,4
ASPN,9,72,19,0,0,49
ECM2,951,701,1060,868,477,244
TLE4,1434,1433,1391,808,1076,1233
LHX6,0,392,30,4,8,8
PTGR1,1290,2463,1106,1833,1912,986
SUSD1,4237,4031,4260,2364,2742,2296
AMBP,0,0,0,0,0,0
AKNA,3414,3765,4585,3399,4127,2469
TNFSF8,95,76,74,24,1116,253
DNM1,505,818,637,1021,461,412
ENG,487,11879,598,322,9007,950
AK1,622,1670,643,2217,2757,2633
CDC37L1,2854,1923,2692,1458,1925,1702
RLN2,13,0,0,4,20,0
RLN1,0,4,0,0,14,4
PLGRKT,1448,1106,1005,3544,2488,2477
TBC1D13,2092,2138,2241,2764,1828,1329
RIC1,6497,4518,6163,2023,1474,1379
KDM4C,4361,3287,4052,2256,2064,1410
DOCK8,4237,4614,4399,1055,3309,2276
KANK1,3935,2555,4985,1811,1109,1010
ELAVL2,99,72,48,18,20,0
NCS1,1745,2192,1519,1454,3247,2788
TESK1,1528,2406,1833,3083,5050,2909
KCNT1,118,482,81,89,169,237
CA9,110,63,44,135,113,41
FUBP3,8653,8122,8498,5051,3094,2399
TYRP1,78,103,10,0,18,0
CREB3,3716,4154,3965,9224,6730,4894
RGP1,4553,4842,5291,3230,1952,115
MPDZ,9340,6950,9825,2770,2132,1800
LHX3,0,5,0,20,0,12
DDX58,864,817,573,594,698,885
EDF1,6147,7449,5577,34243,32680,36036
PIP5K1B,241,790,1134,421,85,88
GLIS3,134,388,174,15,62,71
BAG1,1676,2574,1732,2867,4292,5231
RAPGEF1,7002,9221,8441,3701,9740,3756
NPDC1,227,1669,288,417,1013,803
APBA1,1611,970,1373,646,308,255
SETX,12379,9873,12757,6461,7825,4635
SH3GL2,37,125,51,16,0,4
PTGDS,80,507,44,14,375,552
ABCA2,5916,5293,7767,5580,4975,3209
SHB,2399,4673,3153,873,3354,2682
UBE2R2,8714,8576,10020,9581,8749,7929
ABHD17B,1186,781,968,688,890,742
EXOSC3,654,897,721,1696,868,654
ZFAND5,226079,187102,217383,190797,103825,94580
DVL1,4808,6194,4406,7914,7909,6643
PDLIM1,10129,12688,9187,16210,20357,15531
CCNJ,881,1207,947,264,336,198
DNTT,0,61,0,64,0,5
GATA3,27,466,38,17,101,177
ATRNL1,1971,1181,2230,1812,799,569
HPS1,7612,7040,7744,8480,11863,7879
PHYH,2458,2104,1715,4228,2500,2148
RASSF4,2937,1753,3534,2708,2207,1933
DNMBP,2948,5376,4223,1283,2895,1715
RAB11FIP2,2986,2598,2654,1487,1157,665
CXCL12,40,883,108,325,153,120
ERLIN1,3462,3882,3800,1903,1944,1379
EIF3A,32336,34652,34209,13139,12139,9490
PKD2L1,0,15,0,20,7,0
CUBN,171,254,76,76,80,19
TRDMT1,789,508,782,463,481,358
DDX50,3701,3687,3322,4115,3356,2457
MAPK8,5841,4445,4630,2128,2821,2312
SEC23IP,4650,4335,4595,2457,2141,1257
ATE1,2588,2428,2333,1136,775,668
NSMCE4A,2049,1657,1488,2967,2099,2345
PLEKHA1,934,1519,841,368,386,405
PALD1,59,989,55,26,140,16
UNC5B,2436,7021,4922,3608,2623,1795
CDH23,125,818,191,389,857,351
VSIR,5035,3393,1137,821,8696,1948
SPOCK2,10254,15836,5712,16317,13487,10314
MICU1,5191,5770,6150,6256,4745,3390
PPP3CB,4434,4800,4287,4266,3540,1911
CCSER2,6445,4684,5837,2393,1898,1642
BMPR1A,4094,3078,5850,2342,1068,1534
MINPP1,5224,3792,4647,4443,2499,1672
ACTA2,1779,6665,2339,2327,2921,2632
LIPA,18985,11374,14558,7006,11072,4748
TLX1,0,0,0,0,0,0
TWNK,1458,1859,1791,1120,1242,1168
LZTS2,4632,6712,5691,9979,8563,7771
SFXN3,8452,6939,8255,6065,7458,5056
KAZALD1,49,25,0,45,163,42
FBXW4,1941,2453,2170,6199,4865,3756
FGF8,21,29,2,40,29,7
NPM3,508,724,437,1653,1656,2201
TNKS2,6684,6764,6109,2755,2107,1772
PITX3,0,6,20,24,0,48
GBF1,7561,7182,10050,6780,5007,4281
ARHGAP21,10691,11755,11273,3354,3588,2772
CPEB3,136,167,149,142,104,26
FBXL15,900,1233,634,6777,5457,5936
CUEDC2,3809,4302,3658,13001,11482,11574
SUFU,1887,2399,3157,3734,1291,511
ANKRD26,1036,914,1116,560,424,228
ACBD5,3265,2552,3089,1787,1050,735
LHPP,1916,1835,1607,4453,3594,3146
LARP4B,8545,8079,7918,5452,4068,3435
GTPBP4,14919,13901,14501,10027,9661,8611
EDRF1,1173,1057,1006,725,644,255
BCCIP,4444,4648,3634,5305,5835,4436
MTPAP,1439,1655,1531,1342,1189,877
NEURL1,44,127,57,62,118,107
SH3PXD2A,1496,4451,2824,1063,948,574
PITRM1,14639,13928,16263,10315,10572,12156
STN1,1219,1344,1338,2105,1658,1162
MAP3K8,11635,10031,15746,1701,5778,12729
DKK1,685,1065,835,100,501,471
EBF3,16,83,54,16,36,21
GLRX3,5451,4881,3979,6854,7166,6450
SORCS1,20,0,45,28,40,12
TASOR2,6021,4937,6742,1962,1817,1248
XPNPEP1,10784,8163,10804,10343,7690,8033
SMC3,4048,4265,4217,2290,2227,1902
SHOC2,6585,5002,6194,3493,2431,2015
TFAM,2959,3015,2516,1751,1796,1059
CCDC6,30778,27632,34510,26174,19138,13738
CUL2,4060,3195,3215,2848,1671,1306
CCNY,6077,6242,6319,4735,5486,3806
UBE2S,4284,4527,3249,15557,18140,14482
RPL28,18374,25144,16446,68824,91054,102740
ZMIZ1,6283,11756,8668,2514,5898,2390
DNAJC12,179,121,69,87,23,123
PPIF,8720,14021,9684,14647,21283,18419
PBLD,885,851,1021,1030,641,397
TSPAN14,2976,4201,3193,2209,2678,2016
LGI1,0,7,0,4,12,16
TBC1D12,1042,896,1176,351,401,363
CYP2C18,0,0,0,0,8,0
KRT23,0,426,4,0,157,66
CRYBA1,0,0,0,0,0,0
NUFIP2,5004,5310,5175,4712,3152,2036
GIT1,3262,4513,3531,4888,3064,3201
RPL19,28440,34135,23434,80774,96967,101520
FBXL20,2245,2582,3194,2283,1516,1050
RUNDC3A,254,141,213,252,403,580
UBTF,5711,7929,5720,9891,8443,5669
CSF3,47,879,348,33,159,8395
PSMD3,10359,10024,10058,15555,12148,9402
CASC3,7973,9361,8873,3993,3780,2403
RAPGEFL1,1206,1660,1560,1200,1063,1130
RGS9,195,82,100,124,91,88
RNF43,8,56,20,29,4,45
WNT3,2738,3567,2846,3215,1726,2219
ASPA,0,119,36,8,8,40
RAD51C,4104,5917,3913,9545,7390,5221
SEPTIN4,336,524,227,720,554,603
MTMR4,3375,2536,3470,2176,1179,1143
TRIM37,5166,4567,4820,2287,1811,1684
P2RX1,71,229,59,21,1152,220
DHX40,6514,5170,7415,3586,2007,1838
TUBD1,59,211,188,145,205,103
KPNB1,29776,27771,31959,17135,12646,11192
GOSR2,3713,3857,3851,3164,3215,1880
PNPO,1311,1274,1533,1744,1488,941
RPS6KB1,3641,3058,3419,2169,1361,1445
TRIM16L,691,215,250,356,239,147
ZNF29P,0,0,0,0,0,0
CDK5RAP3,7783,10450,9876,24193,17457,14803
CBX1,2906,2542,2880,2498,1855,1127
RECQL5,1726,2804,2412,4724,2602,1647
PIGL,770,949,858,649,659,663
GALK1,504,705,411,1355,2468,1884
INTS2,751,672,995,513,253,157
CAMTA2,3123,4058,3723,3088,3288,1690
MED13,8926,6537,7711,4162,3324,3588
HOXB6,0,31,8,8,32,4
ENO3,330,376,452,735,861,734
PFN1,25216,31017,22322,61362,96304,77838
RNF167,4479,4549,4706,8869,6710,5939
SLC25A11,3580,3897,3073,8013,5895,4134
RASD1,4058,4189,4951,8015,8690,5343
CHRNE,127,131,61,292,796,221
RAI1,3064,5668,3755,2093,2941,1177
NUP88,4018,3679,3573,4332,3895,2871
C1QBP,9646,9827,8505,18205,12675,13917
SLC6A4,30,31,12,45,51,35
BLMH,2135,2592,1901,2411,2066,1942
CPD,6932,6700,7726,3145,3010,2302
GOSR1,3481,2964,3368,2406,1852,1634
CCDC47,16509,14952,14687,10710,9004,9469
MED31,542,461,461,682,456,423
DRG2,2131,2603,2376,4920,4469,3059
FTSJ3,3706,5373,4412,6837,6515,5380
AKAP10,1769,1702,2499,2155,866,765
ALDH3A1,156,221,17,99,257,0
SMARCD2,3918,4501,4087,6751,4664,3767
ICAM2,85,467,81,209,887,315
SYNGR2,2747,3557,2234,5203,7317,4692
B9D1,766,873,536,2038,1707,1923
UTP6,2845,2866,2517,3172,2824,2094
DDX5,104507,93765,81794,73591,65414,40414
C17orf75,772,617,742,1268,908,534
CYTH1,3841,6378,4801,3994,9684,5061
PSMD11,6721,7164,6211,4699,5631,3876
LGALS3BP,38889,42097,39311,72794,46823,46940
ASIC2,8,4,0,0,0,19
CCL7,19,4,0,0,227,153
CCL2,422,823,233,350,9941,7111
CCL8,0,47,4,0,16,42
PEX12,180,160,119,215,100,16
KRT32,0,0,0,0,3,0
DHX58,1140,1332,1585,2184,2266,2099
KAT2A,7547,10542,10400,13355,11327,8249
RAB5C,12095,12201,11803,15474,15648,9321
NAGLU,5607,5219,4107,12430,10313,8150
HSD17B1P1,374,196,1246,789,1027,2171
HSD17B1,37171,13993,64778,60891,80219,201502
MLX,3502,3470,3628,4650,3555,2612
CNTNAP1,511,1029,449,255,287,117
ABI3,27,335,34,248,611,95
EZH1,2074,2593,3057,2651,1861,1041
DLX4,54,34,28,71,63,14
PPP1R9B,4075,7905,4997,6034,5600,3220
COL1A1,2895,65431,5469,1530,13912,4256
SGCA,0,2,0,0,12,0
PTGES3L-AARSD1,118,7,30,42,0,0
MRPL27,1420,1502,1095,4771,3480,4380
VAT1,18036,16972,15038,15681,17120,10860
LRRC59,20331,20210,20349,15229,17021,14202
RND2,294,146,213,817,339,411
ALOX12,52,74,55,45,83,108
HDAC5,4551,6286,5880,10499,12879,9007
ABCC3,7542,18382,10360,6248,11376,5965
LUC7L3,7988,8465,5879,9250,8610,6145
PPY,0,2,0,0,0,0
MPP2,47,61,49,24,50,30
SMURF2,1807,1868,1565,895,1007,506
DUSP3,7669,6940,6789,4567,4943,3165
CACNG1,0,3,0,0,12,8
EFTUD2,6674,7887,7678,6168,7225,5058
HLF,217,172,202,106,162,44
SLC16A6,84,370,83,27,847,85
PRKAR1A,27667,31264,27365,17569,15713,8189
EFNB3,296,354,274,150,196,152
FAM20A,72,640,104,136,1142,270
YWHAE,55751,58857,56213,71885,55655,47891
AC130689,52,76,53,57,52,41
MMD,43363,24719,41665,10380,10769,10784
RANGRF,750,820,713,2818,3041,2967
DPH1,4318,7057,4946,7677,11935,8971
MAP2K6,187,175,176,397,106,107
DHRS7B,1094,1128,770,2704,1842,1536
WSB1,18540,14548,18268,6965,6635,3684
RCVRN,19,4,0,24,16,43
MYH1,0,17,0,0,265,453
SLC9A3R1,5089,4894,4816,11451,8651,3786
MYH3,178,198,104,174,268,243
NAT9,7029,7019,6669,18262,11146,7696
TMEM104,7484,6055,8688,6263,5623,6102
VTN,14484,8694,17287,33742,18097,20869
TNFAIP1,5214,6134,5397,4316,3237,3103
IFT20,1182,1422,875,3026,2274,1408
TMEM97,25023,7118,12162,12239,7844,8797
CDR2L,426,1093,423,263,472,478
PMP22,2351,4326,1704,567,4074,3332
FOXN1,0,2,0,0,0,11
UNC119,3138,3581,2834,9300,3820,2202
ALDOC,11291,5502,11322,25486,12684,10521
SUPT6H,18996,19896,21154,18075,18130,11984
RAB34,6512,7424,6120,14339,16482,13686
PHF12,1514,1948,1727,1569,1565,551
PHOX2B,8,0,0,0,0,0
TMEM33,5054,4947,3877,2539,2832,2015
GABRA4,0,0,0,0,10,0
GNRHR,0,4,0,0,8,0
SLAIN2,10595,7849,8230,3547,2783,2359
OCIAD1,10082,8268,7814,11564,8641,6741
CWH43,5,113,0,0,0,0
DCUN1D4,5894,3693,4696,2663,1556,1553
USP46,4297,3470,4309,1972,1721,1545
SULT1E1,0,12,4,0,12,0
ODAM,88,9,14,19,0,0
CHIC2,3098,2266,2283,1565,2182,1863
NMU,0,13,0,0,18,0
CRACD,170,331,393,44,50,36
LAMTOR3,5831,4412,4109,4263,2967,2163
PF4V1,32,5,16,19,38,12
NFKB1,3929,8405,4928,2012,3450,5289
AREG,74245,56943,38947,46418,79056,56446
MANBA,1865,2073,1946,2180,2936,1965
UBE2D3,39479,33987,34160,27724,28637,21263
MAPK10,250,834,286,403,209,294
ELF2,3349,3155,3338,1378,1339,1211
NDUFC1,1316,1185,959,4158,2908,3657
UCP1,0,0,0,0,0,0
TBC1D9,6763,5488,5486,2155,2789,3487
ZNF330,2229,2225,1976,2415,2578,2169
INPP4B,480,612,404,118,350,123
GAB1,950,799,858,638,452,406
KLHL2,2260,2199,1909,1080,1468,1072
CPE,3046,2956,3904,1645,1034,987
RPL34,2568,3011,2207,7706,9909,13989
WFS1,6364,3805,7652,6603,4746,4693
ANXA10,31,60,22,30,89,0
GRPEL1,4349,5156,4576,6008,4608,5725
GAR1,547,384,356,695,828,595
FRG1,1556,1761,1726,3464,3751,2558
CLCN3,6620,6106,6167,2887,2281,1687
AADAT,236,261,134,270,166,90
GALNT7,5169,5570,5733,2745,1902,1663
DHX15,14736,14246,12692,7407,7244,4931
SOD3,23,109,0,31,40,62
SEPSECS,548,512,497,501,402,131
CPZ,73,891,41,77,92,10
TRIM2,789,1330,675,410,275,195
SLC2A9,250,184,135,123,238,80
FBXW7,5354,3695,6966,1891,2016,1411
NEIL3,0,48,0,22,23,0
TBC1D19,1642,1036,1154,1113,725,552
CLNK,8,4,12,0,0,4
NSD2,2523,3375,2967,2585,1778,1250
SH3D19,2224,2598,2490,1317,982,795
STIM2,2735,2901,2430,1362,1507,778
NKX3-2,0,8,0,0,0,0
MFSD10,19110,25219,21429,40781,45693,40714
GLRB,293,276,322,263,187,147
BST1,1120,629,849,1024,1612,722
RAPGEF2,15238,11561,14629,5077,3074,4254
HGFAC,38,58,186,391,320,177
SNX25,1234,1292,1220,550,538,801
LRP2BP,556,223,347,321,203,91
UFSP2,7149,4227,6752,9366,4634,4072
KLF3,9957,9899,10352,3807,4612,3257
KLHL5,7076,9093,14608,2326,2180,2063
FAM149A,60,148,50,6,79,16
NCAPG,189,636,233,187,102,77
UGDH,14317,16656,17031,2773,8735,5145
PPARGC1A,32,22,72,18,0,14
DDX25,17,0,9,9,0,0
CRYAB,824,356,852,320,879,918
DBX1,0,0,0,0,0,0
HTATIP2,3564,3216,2842,5522,5229,3164
CTSC,24412,30818,23397,31532,20000,17235
CCDC34,273,257,248,444,307,400
ZBTB16,3964,4060,8036,4657,2702,2349
ELP4,1393,1119,1204,1199,861,726
ZPR1,6672,6561,6795,5955,6646,4729
MTCH2,3731,3846,3904,4223,4383,2878
FNBP4,7998,8971,9817,4585,3655,3149
TECTA,575,508,740,431,343,194
SC5D,18949,10153,11108,10709,5615,3763
CRTAM,20,16,14,22,64,0
JHY,53,114,74,58,70,135
B3GAT1,16,43,0,8,57,57
HSPA8,130302,135235,106509,108843,182565,120766
P2RX3,0,0,8,0,0,0
VWA5A,958,978,770,1055,2303,808
DNAJC4,1332,2406,1429,4608,4480,2864
SIAE,2739,3428,2920,2657,1943,1423
SNX15,1429,1461,1346,2228,1514,1252
LPXN,440,499,332,424,1503,570
DTX4,103,1359,115,44,173,118
ATG2A,2685,3849,3486,3822,6217,4335
EHD1,20176,21187,21854,14795,23729,30161
OSBP,6740,5426,6960,3858,2864,2366
UNC93B1,1524,2110,1801,2906,6372,4909
PUS3,355,464,311,517,369,373
DCPS,1589,1270,1387,3017,2365,1761
KMT5B,7646,5999,6900,7788,5361,4667
FOXRED1,1687,1871,1660,3484,2605,1689
PPP6R3,9969,8760,8666,6369,6154,4560
NRXN2,72,359,55,9,56,17
MS4A6A,174,263,89,369,2372,732
MS4A4A,46,96,14,122,1524,232
ST3GAL4,41568,25817,37443,74485,31984,36588
CPT1A,5631,5752,5937,2853,3358,2269
CCND1,170,1477,171,205,457,467
CCDC86,3235,3835,3010,4524,4235,4489
PRPF19,5054,5014,4502,5295,4379,3260
TMEM109,2454,2317,2339,2636,3194,2053
CCKBR,42060,35759,66898,51644,18336,34416
HPX,186,109,120,96,234,160
TRIM3,1998,2054,1853,1503,1487,780
CHORDC1,3450,3773,3225,2633,1586,970
FOLR1,0,0,0,0,14,0
ANAPC15,661,657,597,1795,2607,2673
FOLR3,49,9,14,0,4,24
PANX1,12636,10993,13885,6455,5236,8749
ARHGEF17,6219,7280,6430,3142,3349,1998
APOA5,0,0,4,0,0,0
APOA4,0,0,0,0,0,0
APOC3,0,0,0,0,0,0
CEP164,4037,5747,5873,3713,3155,2093
RNF141,4600,4657,4245,3148,3614,2562
CEP126,400,294,288,303,129,85
EIF4G2,94834,95261,91674,46156,44250,30277
IL10RA,706,820,519,293,4399,1784
GALNT18,1205,1527,1288,771,769,800
BIRC2,9543,8600,8301,7824,5398,4272
UBE4A,5528,4430,5158,2870,2450,1881
DDX6,6765,6670,7137,2119,3152,1839
UPK2,13,1168,20,19,36,17
CBL,3138,3546,3353,1101,1460,752
NECTIN1,385,2025,470,290,764,479
HIPK3,12016,11343,11286,4302,6492,5091
KIAA1549L,187,381,235,58,94,141
FBXO3,4705,3756,4646,3503,1967,2274
PDHX,2651,2604,2299,3289,1476,1212
SLC1A2,29,17,69,23,18,44
COMMD9,2129,2192,1982,3825,4020,2750
SLC15A3,863,766,807,1808,4755,2753
CD5,255,140,131,69,588,380
ACCS,3085,4763,3819,5621,3043,2392
SCGB2A2,0,8,0,0,6,0
MDK,2219,2629,1867,15860,8557,9036
AMBRA1,3107,3388,3377,2477,1515,1283
MADD,3827,3660,3872,3859,3090,2639
PTPMT1,2230,2384,2201,4664,4178,3767
NAA40,1444,1706,1516,1869,1251,1079
CARS1,3416,4112,4284,5163,4286,4728
SLC22A18,2486,2733,2628,6297,6159,4977
CD81,8595,10894,7710,19465,20060,21055
SLC35F2,606,868,668,237,406,411
C11orf21,113,106,67,23,432,253
ELMOD1,4,0,7,0,0,0
CALCA,0,20,0,0,0,4
SOX6,506,446,676,113,297,145
C11orf58,12643,12395,11025,12873,9736,7881
PITPNM1,5535,6365,5985,8355,12041,5252
RPS13,8345,8441,5836,17522,18283,22686
AIP,2437,2482,2354,8676,7219,5480
NUP98,13796,12195,15915,5277,5920,4965
NDUFS8,5016,4854,4839,31721,22170,25623
TCIRG1,10352,11335,13281,24328,38790,26903
CHKA,7106,6085,7456,11787,6862,7705
EXPH5,18,20,10,19,40,0
HPS5,4039,3552,5289,2609,1425,947
GTF2H1,3912,3417,3368,3470,1882,1480
POU2AF1,25,72,23,0,63,8
PTPN5,4,232,19,23,24,0
VWF,1535,20776,1276,595,1772,898
PSMD9,2988,3158,2423,6230,6563,6279
P3H3,65,578,40,57,406,235
PPFIBP1,2466,4359,2461,873,1202,742
PRPF40B,1485,1769,1692,3962,1284,1389
CD69,490,528,272,26,496,1851
PRDM4,3953,2863,3778,1657,2009,1749
CLEC2B,233,456,207,331,1519,666
COQ5,1252,1229,1356,3140,1448,1395
SELPLG,504,320,286,179,1805,520
CORO1C,22738,21444,19925,9175,14726,10185
ASIC1,205,133,232,272,214,258
DAO,4,0,0,0,0,0
CAPRIN2,6849,8487,6324,1948,3771,2058
TSPAN11,36,135,53,121,103,77
KCTD10,6493,6272,5921,2978,3824,2714
SLC11A2,3918,3186,4170,2248,1377,1357
MLEC,13618,14332,14846,10497,8553,7610
MVK,6878,2571,4679,13849,5719,7902
CSRNP2,4160,3653,3787,2548,1661,1216
CAMKK2,3596,4802,3872,2753,3348,2289
BIN2,263,237,110,90,1365,473
IL23A,54,85,60,83,92,176
ATP5F1B,56042,49528,53192,77983,54126,46982
PTGES3,20389,19613,19530,23945,19098,15597
SYT10,12,0,0,0,0,0
BCL7A,270,475,398,357,753,206
RSRC2,9535,8754,8176,8581,6136,3924
CYP27B1,741,1197,696,136,670,488
MYF6,0,0,0,0,0,0
LIN7A,483,773,707,200,360,335
KRT18,2134,4162,1665,2260,3364,4012
ACSS3,19784,16718,21179,9012,5206,7950
TNS2,3152,6479,4345,8132,3514,2474
GLI1,61,196,59,39,35,79
PPM1H,9364,6987,11557,9311,4770,3646
METAP2,10197,8095,7957,13619,7913,5805
LTA4H,15589,17007,15524,24515,11591,12778
ELK3,892,2765,831,252,854,517
SLC6A12,0,35,45,4,55,15
WNT5B,8,18,4,4,12,33
MAGOHB,835,609,552,1261,1059,732
TRPV4,198,358,233,467,416,91
ITFG2,1417,1362,1461,1972,1546,873
FOXM1,144,797,237,386,316,223
PRR4,157,69,114,96,57,47
PRMT8,2,0,0,12,0,0
PARP11,3868,2164,3153,3682,1887,1783
ARPC3,15441,14137,12994,31309,36181,29504
GPN3,1202,1305,1230,2065,1267,1525
VPS29,6154,5849,4355,8073,6895,5319
MYL2,9,0,0,0,31,69
RAD51AP1,94,142,96,57,45,19
CUX2,8,12,14,0,10,41
SH2B3,5593,8834,6922,3998,4832,2108
AKAP3,21,34,26,48,0,0
MANSC1,676,701,551,237,385,252
DUSP16,9971,9510,11422,6698,4087,3982
CREBL2,2549,3224,2846,1519,2187,1120
ACAD10,2492,2833,2921,4221,2656,2432
ALDH2,5656,5758,5445,12304,8853,9132
CDKN1B,1981,1926,1678,2469,1332,1028
GPRC5D,74,134,38,28,47,74
NAA25,4636,4442,4267,2890,3464,2731
GSG1,0,18,0,0,16,0
SCNN1A,65,227,30,67,67,86
LTBR,11492,16592,12267,19758,15891,12866
OGFOD2,277,397,372,1369,1213,698
CDK2AP1,2674,4223,2382,5176,3561,3246
OAS3,2330,2352,2346,1156,1324,693
OAS2,383,1250,591,272,1590,493
ART4,0,0,0,0,0,0
MGP,82,1265,71,20,221,123
RASAL1,177,439,123,403,866,335
ARHGDIB,1440,2474,607,870,15934,3995
GTF2H3,2210,1717,2192,1203,848,362
EIF2B1,3308,3344,3006,4504,3508,3067
DDX55,1219,1518,949,1640,1427,796
SLC38A1,4832,4073,5966,1058,1387,1744
RERGL,0,0,4,0,0,0
ENDOU,0,57,13,0,22,0
C12orf49,1751,1670,1637,1239,1547,826
VDR,27,240,36,15,1150,143
FZD10,5,130,0,0,0,0
RFC5,638,526,460,601,382,303
STX2,6104,7047,5921,4436,3467,2551
ADGRD1,316,1333,454,794,470,915
COPZ1,8752,8697,9531,14214,11034,10044
TBC1D30,119,370,132,160,280,95
CAND1,14909,11674,14103,8325,5627,4220
IL26,0,0,0,1,0,0
IFNG,0,8,2,0,66,71
RAB5B,17338,12024,19246,13210,7032,4979
MDM1,503,496,456,414,266,182
NUP107,2534,2489,2423,1804,1774,1411
CNOT2,6637,6647,6494,3680,4828,4502
TIMELESS,1377,1560,1584,1303,923,715
CPSF6,6690,6903,5413,7364,4159,3127
KRR1,4477,4236,3248,3270,2521,2090
MRPL51,2836,3290,2251,8083,7368,9293
GAPDH,252154,202791,246728,667072,403003,447291
NOP2,3682,5619,3476,2870,2213,4921
CHD4,15210,17745,16401,12991,11765,12597
ACRBP,33,98,34,131,389,172
UHRF1BP1L,2933,2823,3092,1086,1356,1463
COPS7A,6351,7296,6170,8351,7675,5623
ING4,1356,1232,1088,3369,2043,1343
GNB3,0,33,0,0,24,7
CDCA3,78,157,84,188,171,58
CHPT1,1379,1325,917,1316,1014,952
USP5,8428,7280,8845,12858,8431,7403
TPI1,65945,59717,64327,167372,114271,99207
GNPTAB,5378,5438,6322,1917,2540,1659
SPSB2,479,889,729,688,544,393
ENO2,2334,1551,3138,2926,1707,857
ATN1,11436,20280,13855,21285,15372,13570
C12orf57,1413,1283,776,3861,3935,4835
PTPN6,413,927,324,1067,5002,1011
LPCAT3,12694,9502,18555,6978,4319,2423
NT5DC3,4631,4183,5297,1014,2439,2829
SLCO1B3,11,7,5,8,4,4
NANOG,22,4,8,29,8,0
SUDS3,3072,3347,3194,2560,1698,1139
GOLT1B,4412,3920,3539,2262,2665,1899
GYS2,0,0,0,0,0,0
LDHB,48412,45409,43281,98361,45084,60973
PRKAB1,2924,2529,2647,4901,2210,1667
CMAS,56619,51028,48398,82073,28450,27988
HCFC2,877,653,941,781,392,293
ST8SIA1,360,223,377,575,229,158
CLEC4A,23,51,0,129,356,59
C2CD5,3445,3505,3110,2813,2191,1485
AICDA,0,0,4,0,8,4
RAB35,6207,6229,5719,5762,5181,4249
PHC1,3055,3610,3286,1651,1103,687
COX6A1,4801,4692,3761,16080,13904,12474
RIC8B,1465,1039,1131,928,802,510
SRSF9,9130,9125,8369,17693,10921,11468
AC009533,230,680,404,307,484,233
FGFR1OP2,4160,3409,3432,2532,2792,1811
KLRB1,101,105,27,38,466,568
COL12A1,183,1556,180,25,115,115
BTN3A3,996,1363,1246,659,885,330
TDP2,1975,2095,1764,2954,2211,1830
FRK,203,320,288,99,153,100
DSE,7664,6251,6314,2246,4903,4028
RWDD1,3017,2836,2337,5647,5777,5568
RSPH4A,134,82,74,82,113,119
MAK,242,267,475,158,228,179
TMEM14C,4055,3712,3285,7990,8259,5412
PAK1IP1,1526,1628,1119,1159,1745,1240
GCNT2,25,135,25,2,68,74
SMIM8,335,272,263,681,349,114
NEDD9,4356,6081,7350,4482,5099,2897
CEP85L,835,931,855,411,162,220
ADTRP,5,222,11,0,14,23
ASF1A,1001,1047,952,1402,916,373
MCM9,1039,957,963,552,468,354
FAM184A,718,288,486,575,262,268
RNGTT,3990,2558,3927,1729,1210,1374
MAN1A1,15187,8445,11646,3479,3197,3946
