gene_name,DOR_1,DOR_2,DOR_3,NOR_1,NOR_2,NOR_3
GTF2IRD1,1146,1492,1260,1623,985,779
PAF1,4068,5052,4139,14055,10337,7718
VPS41,12147,10294,14695,12737,5943,5828
ARHGAP44,373,523,244,70,186,178
ELAC2,7777,6967,8825,9861,7921,6617
SCIN,12,131,29,46,68,9
ARSD,7317,6059,9079,6299,5539,5560
PNPLA4,1521,1102,1209,2302,1212,1294
ADIPOR2,24980,15931,19898,13005,10778,9062
CDKL3,84,80,37,352,72,0
UPP2,0,0,0,0,0,0
PRSS21,0,6,0,8,99,4
MARK4,6934,8888,8596,11856,6998,5964
PROM1,53,47,146,49,9,30
CCDC124,3356,4734,3785,14231,15715,15837
CEACAM21,122,220,180,245,73,377
PAFAH1B1,14747,13013,14337,10708,8989,7266
NOS2,63,42,187,131,131,17
DNAH9,75,42,77,104,132,43
KIAA0100,16974,15762,19074,8862,6942,5228
SLC13A2,0,0,1,0,0,0
GAS7,142,571,105,123,2983,641
TRAPPC6A,946,917,576,3924,4609,4241
MATK,193,97,9,117,3026,1175
CEACAM7,0,0,0,0,0,0
CD79B,75,45,34,21,374,118
SCN4A,256,67,209,79,70,26
ST7L,1045,783,1169,659,901,791
TKTL1,226,78,140,294,317,257
PAX6,4,4,11,7,0,14
RPUSD1,872,1374,904,3119,3436,2417
RHBDF1,3837,6417,4831,3347,5722,2765
LUC7L,6825,7551,7548,14716,11123,8955
CACNA2D2,86,83,65,93,67,11
BAIAP3,229,282,183,303,350,237
TSR3,2268,3006,1940,11373,8933,11167
PIGQ,2728,4091,2667,8999,8072,5647
CRAMP1,1998,3319,3014,2084,1643,1677
TEAD3,1187,2131,1510,1032,1120,1238
SELE,0,1398,94,0,8,14
DNAJC11,8429,7860,9962,17727,9550,8318
FMO3,8,12,0,0,0,32
MYLIP,635,1025,568,640,507,252
NOX1,0,0,3,28,0,10
E2F2,4,39,22,42,67,108
PSMB1,7541,7193,6491,19193,17540,19191
SYN1,2060,2152,1492,2697,2934,2214
JARID2,4574,5672,7413,1341,4595,2305
CDKL5,525,834,750,417,236,144
CAMK1G,23,202,35,6,66,88
CDK11A,3352,6085,6178,7039,7406,6155
NADK,8352,11702,9675,11062,10144,8384
TFAP2B,6,6,0,0,0,0
TFAP2D,0,0,0,4,0,0
DLEC1,134,164,127,112,110,97
CYTH3,3530,3575,3395,2461,1663,1826
ADAM22,55,137,69,18,35,24
SYPL1,5865,5829,4979,4197,3257,2618
CYB561,1562,2024,2139,1821,2033,1419
SPAG9,16977,13099,14418,4838,6781,5565
CELSR3,1528,1190,1912,783,481,572
AASS,18043,13758,20840,12299,6222,6527
PLEKHG6,205,475,194,39,159,64
SS18L2,753,735,517,1397,1556,999
MPND,546,660,422,1731,2338,1530
MGST1,35626,28235,32057,61368,32772,38174
CRY1,6296,3133,3388,1175,2144,2066
PGLYRP1,4,0,0,0,39,125
NFIX,782,2237,1026,494,464,427
ST3GAL1,15558,13225,17303,6619,6780,5594
