"","DOR_1","DOR_2","DOR_3","NOR_1","NOR_2","NOR_3"
"RHBDD2",70010.0549549092,35395.2591685596,71653.4095047722,107677.393918728,60766.6223651062,113718.479832656
"SOX8",7.84536265078125,28.3360425646429,15.8652480152273,0,31.3376402585518,0
"IBTK",9688.0422033835,6140.06622322606,8643.58543429603,4800.08562386687,3678.25552534752,4203.13948099431
"ZNF195",877.699946556153,1433.6266535049,520.578450499646,678.099900815534,962.653136692388,937.32854562921
"MYCBP2",4486.56676591553,2787.55818729675,4260.81067008948,1862.90152309682,1822.4796412864,1300.88341688909
"FBXL3",8554.38730034561,5695.54455549322,6336.18342608141,5121.34013488859,2363.05393574642,3060.53845703469
"ITGAL",568.788792181641,624.278437752289,269.709216258864,255.69236591525,2512.88702823262,1700.29914279705
"PDK2",1116.98350740498,1352.16053113155,1130.39892108495,2718.95581777278,1727.48741925267,1786.85982643035
"ITGA3",1552.40113452334,2407.6781166645,850.773924816564,968.446543429921,1266.23652669711,1187.11794697103
"ZFX",4812.14931592295,3556.17334186268,5680.75036745233,2492.29811611897,1504.20673241049,1593.95316004756
"LAMP2",20652.9171781817,17131.7942343171,18337.2519715999,8153.12104502656,10338.4833815479,8669.67075647281
"ITGA2B",54.9175385554688,142.56571415336,102.132534098026,60.8791347417262,801.06842910923,1103.03042572725
"ASB4",0,7.08401064116073,0,0,3.91720503231898,0
"GDE1",4305.14275461621,3488.87524077166,3711.47645756224,4874.07718762989,4020.03166441735,3945.93059248392
"REX1BD",1714.2117391957,1755.94913767772,1245.42196919534,8335.75844925173,9766.57144682928,11752.4676750132
"CRLF1",64.7242418689453,95.6341436556698,146.753544140853,118.948463264603,184.108636518992,168.175042487563
"OSBPL7",334.408582989551,380.765571962389,290.53235427885,932.855664657835,768.751487592599,576.246836758855
"TMEM98",4261.99326003692,3127.59069807246,3840.38159768596,4343.02381226745,3733.09639579998,4649.54529230321
"YBX2",0,10.6260159617411,18.8399820180824,19.6686435319423,9.79301258079744,7.41948716856894
"MAP3K14",801.207660711035,1199.8543023466,1233.52303318392,1176.37220362474,2578.50021252397,1119.10598125915
"TMEM132A",3218.56002748301,3228.537849709,3612.31865746707,5720.76546157636,4543.95783749001,5798.32922223663
"AP2B1",24925.6978118634,21163.4817904677,28549.5138034015,14467.692220853,14893.2135328767,14764.7794654522
"TAC1",0,25.6795385742076,0,0,0,0
"ZNF263",3333.29845625068,2720.26008620572,2729.81423662005,3822.27305970745,3385.44444918167,3421.62016590505
"CX3CL1",0,267.421401703817,11.8989360114205,0,23.5032301939139,42.0437606218907
"SPATA20",8282.74161856231,9556.33035492582,7399.15504310164,18643.0642620624,15388.7399694651,8782.19964519611
"CACNA1G",977.728320353614,1479.67272267245,945.965412907928,3605.91798085609,1495.39302108777,967.006494303486
"TNFRSF12A",10397.0668529479,12373.9955874475,7610.36115730435,7676.39058989519,24175.0308569566,15141.9367298545
"DLX6",3.92268132539063,0,0,3.74640829179853,0,0
"MAP3K9",310.872495037207,850.081276939287,1376.31026532097,553.531825113233,437.747662361645,562.644443616478
"RALA",3041.05869750908,2779.58867532544,2451.18081835262,2142.94554290876,3253.23877934091,3044.46290150279
"BAIAP2L1",1686.75296991797,2357.20454084623,1622.22160955699,3009.30246038717,2081.01517341946,2063.85401405693
"KDM7A",3686.33977553584,2890.27634159358,4356.9937361818,1019.0230553692,1608.01266576694,1331.79794675813
"ETV1",98.0670331347657,270.077905694253,60.4862580580541,93.6602072949633,55.8201717105454,122.421538281388
"AGK",2181.99148724854,1971.12596090297,2552.32177444969,1549.13982865869,889.205542336407,1057.27692152107
"ALDH3B1",2432.06242174219,2780.47417665559,4837.90906664338,1106.12704815352,3369.7756290524,3306.61811479223
"TTC22",56.8788792181641,74.3821117321876,27.7641840266478,32.7810725532372,69.5303893236618,66.7753845171205
